ORDERDATE;SALES;CURRENCY;PRODUCT;CUSTOMERNAME;COUNTRY
2019-08-03;17943,75;DKK;Product A;Customer 1;Denmark
2019-10-11;3737,7;CAD;Product A;Customer 2;Canada
2019-02-20;5470,9;AUD;Product A;Customer 3;Australia
2019-09-08;5277,04;AUD;Product A;Customer 4;Australia
2019-04-01;4819,69;CHF;Product A;Customer 5;Switzerland
2019-09-20;2999,79;EUR;Product A;Customer 6;Germany
2019-08-29;3517,99;AUD;Product A;Customer 7;Australia
2019-10-23;4752;EUR;Product A;Customer 8;Germany
2019-02-15;2930,46;CAD;Product A;Customer 9;Canada
2019-05-04;6631,61;AUD;Product A;Customer 10;Australia
2019-03-09;5359;CAD;Product A;Customer 11;Canada
2019-01-25;16665,14;CNY;Product A;Customer 12;China
2019-06-02;4428,67;SGD;Product A;Customer 13;Signapore
2019-01-03;26262,57;CNY;Product A;Customer 14;China
2019-07-09;5801,88;SGD;Product A;Customer 15;Signapore
2019-03-26;5540,11;CAD;Product A;Customer 16;Canada
2019-10-30;3509,99;CAD;Product A;Customer 17;Canada
2019-07-24;3460,14;GBP;Product A;Customer 18;United Kingdom
2019-10-26;6138,08;AUD;Product A;Customer 19;Australia
2019-08-13;6191,75;AUD;Product A;Customer 1;Australia
2019-05-21;48362,06;DKK;Product A;Customer 20;Denmark
2019-07-13;2015,28;SGD;Product A;Customer 21;Signapore
2019-09-16;577,25;GBP;Product A;Customer 15;United Kingdom
2019-03-27;3207,12;USD;Product A;Customer 22;United States
2019-12-15;3381,33;SGD;Product A;Customer 23;Signapore
2019-01-03;10439;SGD;Product A;Customer 24;Signapore
2019-04-09;574959,57;JPY;Product B;Customer 18;Japan
2019-10-14;45056,94;DKK;Product B;Customer 25;Denmark
2019-06-09;45806,63;DKK;Product B;Customer 26;Denmark
2019-02-12;7374,1;USD;Product B;Customer 6;United States
2019-02-24;15268,75;SGD;Product B;Customer 27;Signapore
2019-09-08;4860,24;USD;Product B;Customer 28;United States
2019-03-09;7421,13;CHF;Product B;Customer 29;Switzerland
2019-04-02;38375,5;CNY;Product B;Customer 30;China
2019-06-13;9851,84;CAD;Product B;Customer 31;Canada
2019-07-26;9064,89;USD;Product B;Customer 32;United States
2019-07-25;5237,33;EUR;Product B;Customer 33;Germany
2019-04-30;46165,93;CNY;Product B;Customer 34;China
2019-01-12;4819,17;GBP;Product B;Customer 35;United Kingdom
2019-07-03;6621,24;EUR;Product B;Customer 36;Germany
2019-07-27;35038,5;CNY;Product B;Customer 21;China
2019-02-24;11288,48;AUD;Product B;Customer 37;Australia
2019-03-30;759169,15;JPY;Product B;Customer 38;Japan
2019-06-10;8010;GBP;Product B;Customer 39;United Kingdom
2019-04-02;83026,43;CNY;Product B;Customer 40;China
2019-07-27;638340,43;JPY;Product B;Customer 41;Japan
2019-08-22;18768,75;DKK;Product B;Customer 9;Denmark
2019-01-14;3400,6;EUR;Product B;Customer 11;Germany
2019-12-12;605514,89;JPY;Product B;Customer 40;Japan
2019-11-02;3892,17;EUR;Product B;Customer 42;Germany
2019-09-25;7643,33;CHF;Product B;Customer 5;Switzerland
2019-08-01;2237,56;CHF;Product B;Customer 43;Switzerland
2019-10-10;5594,91;CAD;Product B;Customer 44;Canada
2019-06-03;1276702,13;JPY;Product B;Customer 24;Japan
2019-08-16;3607,86;CHF;Product A;Customer 1;Switzerland
2019-05-25;2586,91;CHF;Product A;Customer 11;Switzerland
2019-05-16;351890,43;JPY;Product A;Customer 3;Japan
2019-11-20;4088,94;GBP;Product A;Customer 4;United Kingdom
2019-08-14;31355,19;DKK;Product A;Customer 5;Denmark
2019-03-13;389460,64;JPY;Product A;Customer 6;Japan
2019-10-12;499531,91;JPY;Product A;Customer 7;Japan
2019-03-25;3389,74;CHF;Product A;Customer 8;Switzerland
2019-08-16;21613,71;CNY;Product A;Customer 9;China
2019-11-11;4179,29;SGD;Product A;Customer 45;Signapore
2019-05-19;7327,55;CAD;Product A;Customer 11;Canada
2019-09-07;20372;CNY;Product A;Customer 46;China
2019-07-15;5756,52;USD;Product A;Customer 13;United States
2019-06-17;4472;USD;Product A;Customer 14;United States
2019-09-27;2689,3;CHF;Product A;Customer 15;Switzerland
2019-08-18;5590,16;EUR;Product A;Customer 16;Germany
2019-04-13;3757,26;USD;Product A;Customer 47;United States
2019-01-04;5695,72;AUD;Product A;Customer 48;Australia
2019-01-24;5154,17;CHF;Product A;Customer 19;Switzerland
2019-05-19;4411,11;SGD;Product A;Customer 1;Signapore
2019-05-20;17230;DKK;Product A;Customer 36;Denmark
2019-01-16;1146,47;EUR;Product A;Customer 21;Germany
2019-12-10;7447,9;AUD;Product A;Customer 29;Australia
2019-04-11;1918,53;EUR;Product A;Customer 22;Germany
2019-05-11;5833,8;USD;Product A;Customer 10;United States
2019-07-02;5075,3;EUR;Product A;Customer 24;Germany
2019-08-29;6065,55;USD;Product A;Customer 1;United States
2019-06-08;7295,17;GBP;Product A;Customer 11;United Kingdom
2019-03-06;9892,93;AUD;Product A;Customer 3;Australia
2019-05-20;4462,4;EUR;Product A;Customer 4;Germany
2019-10-07;439648,94;JPY;Product A;Customer 5;Japan
2019-04-16;3293,7;GBP;Product A;Customer 6;United Kingdom
2019-10-05;8234,17;CHF;Product A;Customer 7;Switzerland
2019-10-22;12274,23;AUD;Product A;Customer 8;Australia
2019-01-22;57613,5;CNY;Product A;Customer 9;China
2019-02-19;8504,72;SGD;Product A;Customer 45;Signapore
2019-11-12;13208,15;CAD;Product A;Customer 11;Canada
2019-06-18;9755,42;SGD;Product A;Customer 12;Signapore
2019-12-19;9565,18;CAD;Product A;Customer 13;Canada
2019-12-15;11266,14;CAD;Product A;Customer 14;Canada
2019-08-04;6901,92;USD;Product A;Customer 15;United States
2019-05-29;5438,07;USD;Product A;Customer 16;United States
2019-10-18;9031,54;CAD;Product A;Customer 17;Canada
2019-02-07;3598,74;GBP;Product A;Customer 48;United Kingdom
2019-02-19;10361;CAD;Product A;Customer 19;Canada
2019-02-18;36676,25;DKK;Product A;Customer 1;Denmark
2019-02-03;2990,13;USD;Product A;Customer 36;United States
2019-08-07;5160,7;AUD;Product A;Customer 6;Australia
2019-07-01;5325,53;SGD;Product A;Customer 29;Signapore
2019-03-22;1822,17;USD;Product A;Customer 22;United States
2019-04-29;10247,07;EUR;Product A;Customer 23;Germany
2019-10-16;7946,69;EUR;Product A;Customer 24;Germany
2019-11-28;51485,71;CNY;Product B;Customer 49;China
2019-11-06;35748,57;CNY;Product B;Customer 20;China
2019-03-01;4072,44;CHF;Product B;Customer 50;Switzerland
2019-11-18;4825,66;EUR;Product B;Customer 51;Germany
2019-11-30;6116,32;CAD;Product B;Customer 17;Canada
2019-10-29;8005,62;CAD;Product B;Customer 38;Canada
2019-02-19;3233,78;CHF;Product B;Customer 52;Switzerland
2019-10-15;5428,51;AUD;Product B;Customer 53;Australia
2019-07-19;4930;CHF;Product B;Customer 54;Switzerland
2019-01-06;4480,97;EUR;Product B;Customer 55;Germany
2019-02-09;8104,86;CAD;Product B;Customer 56;Canada
2019-04-29;4042,22;SGD;Product B;Customer 1;Signapore
2019-11-29;21114;DKK;Product B;Customer 44;Denmark
2019-12-19;373276,6;JPY;Product B;Customer 57;Japan
2019-10-04;21371,43;CNY;Product B;Customer 58;China
2019-03-25;4631,35;CAD;Product B;Customer 59;Canada
2019-11-02;19234,29;CNY;Product B;Customer 30;China
2019-08-03;29492,57;CNY;Product B;Customer 60;China
2019-03-24;4123,93;CAD;Product B;Customer 18;Canada
2019-08-25;1035,56;EUR;Product B;Customer 28;Germany
2019-04-09;1962,22;USD;Product B;Customer 24;United States
